source,target,event_id
20134,15012,4
20134,15104,4
20134,15002,4
20134,15014,4
20134,15097,4
20134,15028,4
20135,15023,4
20135,15084,4
20135,15022,4
20135,15045,4
20136,15031,4
20137,15013,4
20137,15028,4
20138,15028,4
20138,15041,4
20138,15017,4
20138,15015,4
20139,15016,4
20139,15041,4
20139,15035,4
20139,15013,4
20139,15097,4
20139,15043,4
20139,15015,4
20140,15080,4
20140,15103,4
20140,15104,4
20140,15026,4
20140,15028,4
20140,15002,4
20140,15085,4
20141,15041,4
20141,15039,4
20141,15025,4
20141,15014,4
20142,15073,4
20142,15014,4
20142,15043,4
20142,15063,4
20142,15028,4
20143,15020,5
20143,15046,5
20143,15028,5
20143,15013,5
20144,15017,5
20144,15085,5
20144,15020,5
20145,15057,5
20145,15039,5
20146,15078,5
20146,15017,5
20146,15021,5
20146,15020,5
20147,15071,5
20147,15073,5
20148,15059,5
20148,15113,5
20149,15041,5
20149,15014,5
20149,15097,5
20149,15094,5
20149,15062,5
20150,15031,5
20151,15056,5
20151,15022,5
20151,15051,5
20151,15063,5
20152,15017,5
20152,15078,5
20152,15018,5
20152,15105,5
20152,15069,5
20153,15075,5
20153,15114,5
20153,15115,5
20154,15103,5
20154,15104,5
20154,15085,5
20154,15020,5
20155,15028,5
20155,15013,5
20155,15015,5
20155,15014,5
20155,15103,5
20155,15097,5
20156,15052,5
20157,15022,5
20157,15103,5
20157,15002,5
20157,15104,5
20157,15079,5
20157,15105,5
20156,15116,5
20156,15051,5
20156,15050,5
20159,15104,5
20160,15083,5
20160,15067,5
20160,15069,5
20161,15013,5
20161,15015,5
20162,15021,5
20162,15022,5
20162,15012,5
20162,15061,5
20162,15025,5
20162,15026,5
20163,15023,5
20163,15111,5
20163,15115,5
20156,15020,5
20164,15105,5
20164,15022,5
20164,15055,5
20165,15034,5
20165,15060,5
20165,15041,5
20165,15022,5
20166,15013,5
20166,15025,5
20166,15032,5
20167,15031,5
20167,15063,5
20167,15012,5
20167,15041,5
20156,15105,5
20156,15022,5
20168,15041,5
20168,15019,5
20168,15070,5
20168,15051,5
20169,15034,5
20169,15090,5
20169,15028,5
20170,15013,5
20170,15097,5
20171,15023,5
20171,15028,5
20171,15008,5
20171,15048,5
20171,15098,5
20172,15034,5
20173,15075,6
20173,15034,6
20173,15028,6
20173,15065,6
20173,15117,6
20173,15060,6
20174,15034,6
20174,15104,6
20175,15118,6
20175,15065,6
20175,15043,6
20175,15097,6
20176,15026,6
20176,15022,6
20176,15028,6
20177,15017,6
20177,15024,6
20177,15100,6
20177,15093,6
20178,15006,6
20178,15005,6
20178,15023,6
20178,15111,6
20178,15070,6
20179,15031,6
20179,15063,6
20179,15012,6
20180,15031,6
20180,15119,6
20180,15014,6
20181,15116,6
20181,15028,6
20181,15022,6
20181,15043,6
20181,15105,6
20181,15012,6
20181,15020,6
20181,15055,6
20182,15013,6
20182,15025,6
20182,15120,6
20182,15100,6
20182,15012,6
20183,15099,6
20183,15069,6
20183,15051,6
20184,15083,6
20184,15069,6
20184,15067,6
20184,15022,6
20185,15013,6
20185,15015,6
20185,15041,6
20185,15039,6
20185,15019,6
20185,15028,6
20185,15097,6
20186,15062,6
20186,15075,6
20186,15049,6
20186,15121,6
20187,15013,6
20187,15014,6
20187,15097,6
20187,15015,6
20187,15034,6
20187,15028,6
20187,15041,6
20188,15041,6
20188,15075,6
20188,15102,6
20188,15043,6
20188,15097,6
20188,15098,6
20188,15020,6
20188,15114,6
20189,15083,6
20189,15067,6
20189,15069,6
20190,15113,6
20190,15062,6
20190,15031,6
20190,15014,6
20191,15023,6
20191,15107,6
20191,15017,6
20191,15020,6
20191,15050,6
20191,15111,6
20191,15008,6
20192,15017,6
20192,15070,6
20192,15085,6
20192,15098,6
20193,15031,6
20193,15094,6
20193,15062,6
20193,15014,6
20193,15028,6
20193,15041,6
20194,15017,6
20194,15085,6
20194,15020,6
20194,15037,6
20194,15063,6
20195,15094,6
20195,15095,6
20195,15122,6
20195,15009,6
20196,15034,6
20196,15103,6
20196,15028,6
20196,15080,6
20197,15107,6
20197,15024,6
20197,15070,6
20198,15031,6
20198,15034,6
20198,15062,6
20198,15066,6
20199,15104,6
20199,15103,6
20199,15002,6
20199,15014,6
20200,15020,6
20200,15024,6
20200,15012,6
20201,15051,6
20201,15105,6
20201,15055,6
20201,15050,6
20201,15023,6
20202,15031,6
20202,15108,6
20202,15012,6
20202,15065,6
20203,15070,6
20203,15069,6
20203,15067,6
20203,15029,6
20204,15084,6
20204,15023,6
20205,15023,6
20205,15037,6
20205,15077,6
20205,15070,6
20205,15078,6
20206,15041,6
20206,15016,6
20206,15013,6
20206,15015,6
20206,15043,6
20206,15097,6
20206,15035,6
20207,15120,7
20207,15041,7
20207,15013,7
20207,15035,7
20208,15028,7
20208,15031,7
20208,15078,7
20209,15106,7
20209,15014,7
20209,15012,7
20210,15020,7
20210,15023,7
20210,15017,7
20210,15123,7
20210,15026,7
20211,15031,7
20211,15109,7
20212,15031,7
20212,15063,7
20207,15073,7
20213,15124,7
20213,15075,7
20213,15106,7
20213,15109,7
20213,15057,7
20214,15028,7
20214,15020,7
20214,15055,7
20214,15095,7
20214,15002,7
20215,15097,7
20215,15013,7
20215,15015,7
20215,15041,7
20215,15014,7
20215,15043,7
20216,15044,7
20216,15109,7
20216,15085,7
20216,15111,7
20217,15106,7
20217,15031,7
20217,15041,7
20217,15022,7
20217,15014,7
20218,15013,7
20218,15034,7
20218,15012,7
20218,15015,7
20218,15097,7
20219,15083,7
20219,15020,7
20219,15044,7
20220,15113,7
20220,15031,7
20220,15014,7
20221,15041,7
20221,15023,7
20221,15114,7
20221,15103,7
20222,15076,7
20222,15085,7
20222,15029,7
20222,15116,7
20223,15032,7
20223,15012,7
20223,15073,7
20223,15046,7
20223,15050,7
20223,15031,7
20224,15017,7
20224,15122,7
20224,15020,7
20225,15044,7
20225,15109,7
20225,15069,7
20226,15104,7
20226,15002,7
20226,15014,7
20226,15103,7
20227,15034,7
20227,15062,7
20227,15063,7
20227,15066,7
20228,15103,7
20228,15014,7
20228,15020,7
20228,15017,7
20229,15073,7
20229,15084,7
20229,15058,7
20230,15083,7
20230,15037,7
20230,15122,7
20230,15069,7
20231,15034,7
20231,15022,7
20231,15065,7
20231,15025,7
20231,15062,7
20232,15017,7
20232,15020,7
20232,15043,7
20232,15025,7
20232,15041,7
20232,15014,7
20232,15097,7
20233,15035,7
20233,15016,7
20233,15013,7
20233,15015,7
20233,15014,7
20233,15041,7
20233,15062,7
20234,15123,7
20234,15017,7
20234,15078,7
20234,15020,7
20234,15041,7
20234,15048,7
20234,15025,7
20234,15028,7
20234,15057,7
20234,15097,7
20235,15034,7
20235,15054,7
20235,15104,7
20235,15060,7
20236,15120,7
20236,15013,7
20236,15015,7
20236,15022,7
20236,15014,7
20236,15097,7
20236,15020,7
20237,15013,8
20237,15015,8
20237,15057,8
20237,15097,8
20238,15021,8
20238,15103,8
20238,15079,8
20238,15109,8
20238,15020,8
20238,15125,8
20239,15106,8
20240,15120,8
20240,15041,8
20240,15013,8
20240,15073,8
20241,15093,8
20241,15070,8
20241,15017,8
20241,15020,8
20242,15049,8
20242,15022,8
20242,15068,8
20242,15012,8
20243,15031,8
20243,15063,8
20243,15028,8
20244,15048,8
20244,15032,8
20244,15023,8
20244,15028,8
20244,15025,8
20245,15039,8
20245,15041,8
20245,15032,8
20245,15102,8
20245,15001,8
20245,15047,8
20245,15018,8
20246,15031,8
20246,15042,8
20246,15043,8
20246,15022,8
20246,15020,8
20247,15031,8
20248,15015,8
20248,15098,8
20248,15041,8
20248,15097,8
20248,15014,8
20249,15085,8
20249,15114,8
20249,15123,8
20250,15034,8
20250,15065,8
20250,15064,8
20250,15014,8
20250,15028,8
20251,15013,8
20251,15015,8
20251,15097,8
20251,15062,8
20251,15060,8
20251,15012,8
20251,15014,8
20252,15113,8
20252,15014,8
20252,15062,8
20252,15120,8
20252,15031,8
20253,15034,8
20253,15032,8
20253,15041,8
20253,15013,8
20253,15028,8
20253,15057,8
20253,15015,8
20253,15025,8
20254,15106,8
20255,15023,8
20255,15070,8
20255,15123,8
20256,15034,8
20256,15041,8
20257,15103,8
20257,15034,8
20257,15028,8
20258,15031,8
20258,15014,8
20259,15114,8
20259,15022,8
20259,15041,8
20259,15037,8
20260,15061,8
20260,15062,8
20260,15103,8
20260,15014,8
20260,15097,8
20261,15034,8
20261,15028,8
20261,15063,8
20261,15066,8
20261,15062,8
20262,15124,8
20262,15075,8
20262,15098,8
20262,15023,8
20263,15004,8
20263,15032,8
20263,15015,8
20263,15017,8
20264,15041,8
20264,15016,8
20264,15013,8
20264,15015,8
20264,15062,8
20264,15043,8
20264,15097,8
20265,15034,8
20265,15114,8
20265,15104,8
20265,15060,8
20265,15054,8
