source,target,attribute
180,20230,person_workshop
333,20231,person_workshop
315,20232,person_workshop
39,20233,person_workshop
337,20234,person_workshop
50,20235,person_workshop
334,20236,person_workshop
3,20237,person_workshop
276,20238,person_workshop
5,20239,person_workshop
7,20240,person_workshop
354,20241,person_workshop
355,20241,person_workshop
321,20242,person_workshop
325,20242,person_workshop
16,20243,person_workshop
349,20244,person_workshop
47,20245,person_workshop
81,20246,person_workshop
360,20247,person_workshop
18,20248,person_workshop
352,20249,person_workshop
20,20250,person_workshop
22,20251,person_workshop
13,20251,person_workshop
24,20252,person_workshop
351,20253,person_workshop
289,20254,person_workshop
356,20255,person_workshop
27,20256,person_workshop
309,20257,person_workshop
30,20258,person_workshop
357,20259,person_workshop
19,20260,person_workshop
58,20260,person_workshop
311,20261,person_workshop
353,20262,person_workshop
350,20263,person_workshop
39,20264,person_workshop
50,20265,person_workshop
