;pk_participation;pk_event;fk_person;country;institute;occupation;subject
42;168;1989;653.0;Schweiz;;not available;
43;169;1989;80.0;Schweiz;;ST;Musik
44;170;1989;7.0;Schweiz;;Therapie;
45;171;1989;429.0;Schweiz;;DO;Chemie
46;172;1989;134.0;Schweiz;;not available;
47;173;1989;751.0;Schweiz;;Office;
48;174;1989;262.0;Schweiz;ETH-Z;ST;
49;175;1989;561.0;Schweiz;;Architekt:in;
50;176;1989;488.0;Schweiz;;not available;
51;177;1989;233.0;Deutschland;;ST;Musik
52;178;1989;332.0;Österreich;;ST;Physik
53;179;1989;189.0;Schweiz;;MA;Landwirtschaft
54;180;1989;674.0;Spanien;;Therapie;
55;181;1989;609.0;Schweiz;;DO;Chemie
56;182;1989;570.0;Schweiz;;ST;Biologie
57;183;1989;663.0;Schweiz;;MA;Lebensmittelwiss.
58;184;1989;64.0;Schweiz;;ST;Psychologie
59;185;1989;725.0;Schweiz;;Dozent:in;
60;186;1989;481.0;Schweiz;;Therapie;
61;187;1989;735.0;Schweiz;EAWAG;MA;
62;188;1989;795.0;Schweiz;;Künstler:in;
63;189;1989;474.0;Schweiz;;Therapie;
64;190;1989;223.0;Schweiz;;ST;Physik
65;191;1989;636.0;Schweiz;;MA;Atmosphärenphysik
66;192;1989;503.0;Deutschland;;not available;
67;193;1989;321.0;Schweiz;;Therapie;
68;194;1989;271.0;Schweiz;;Medizin;
69;195;1989;546.0;Schweiz;;Akademisch;
70;196;1989;59.0;Schweiz;;Künstler:in;
71;197;1989;190.0;Schweiz;;Chemiker:in;
72;198;1989;500.0;Niederlande;;Dozent:in;
73;199;1989;804.0;Japan;;not available;
74;200;1989;65.0;Schweiz;;Akademisch;
75;201;1989;537.0;Frankreich;;Künstler:in;
76;202;1989;319.0;Österreich;;Chemiker:in;
77;203;1989;363.0;Schweiz;;ST;Biologie
78;204;1989;105.0;Schweiz;;DO;Physik
79;205;1989;581.0;Italien;;ST;Physik
80;206;1989;470.0;Schweiz;;Lehrer:in;
81;207;1989;626.0;Schweiz;;not available;
82;208;1989;617.0;Schweiz;;DO;Chemie
83;209;1989;675.0;Schweiz;;ST;Phil. I
84;210;1989;644.0;Italien;;Künstler:in;
