Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
77,96,Undirected,2056,person-person,1,,person<--->person,"#000000"
76,276,Undirected,2052,person-person,1,,person<--->person,"#000000"
34,178,Undirected,1999,person-person,2,,person<--->person,"#000000"
77,161,Undirected,2060,person-person,1,,person<--->person,"#000000"
78,95,Undirected,2071,person-person,2,,person<--->person,"#000000"
78,96,Undirected,2072,person-person,2,,person<--->person,"#000000"
76,87,Undirected,2048,person-person,1,,person<--->person,"#000000"
74,78,Undirected,2039,person-person,1,,person<--->person,"#000000"
74,101,Undirected,2043,person-person,1,,person<--->person,"#000000"
74,98,Undirected,2042,person-person,2,,person<--->person,"#000000"
80,330,Undirected,2138,person-person,2,,person<--->person,"#000000"
72,85,Undirected,2036,person-person,1,,person<--->person,"#000000"
34,98,Undirected,1998,person-person,2,,person<--->person,"#000000"
51,178,Undirected,2035,person-person,2,,person<--->person,"#000000"
78,97,Undirected,2073,person-person,1,,person<--->person,"#000000"
78,301,Undirected,2094,person-person,1,,person<--->person,"#000000"
47,308,Undirected,2033,person-person,1,,person<--->person,"#000000"
47,182,Undirected,2030,person-person,1,,person<--->person,"#000000"
47,276,Undirected,2031,person-person,1,,person<--->person,"#000000"
47,101,Undirected,2027,person-person,1,,person<--->person,"#000000"
47,87,Undirected,2025,person-person,3,,person<--->person,"#000000"
47,98,Undirected,2026,person-person,2,,person<--->person,"#000000"
44,101,Undirected,2012,person-person,1,,person<--->person,"#000000"
80,337,Undirected,2139,person-person,2,,person<--->person,"#000000"
44,98,Undirected,2011,person-person,1,,person<--->person,"#000000"
80,84,Undirected,2107,person-person,4,,person<--->person,"#000000"
80,94,Undirected,2108,person-person,2,,person<--->person,"#000000"
80,351,Undirected,2140,person-person,1,,person<--->person,"#000000"
44,87,Undirected,2010,person-person,2,,person<--->person,"#000000"
44,82,Undirected,2009,person-person,1,,person<--->person,"#000000"
80,355,Undirected,2141,person-person,2,,person<--->person,"#000000"
80,356,Undirected,2142,person-person,2,,person<--->person,"#000000"
80,360,Undirected,2143,person-person,4,,person<--->person,"#000000"
80,307,Undirected,2134,person-person,5,,person<--->person,"#000000"
34,76,Undirected,1993,person-person,1,,person<--->person,"#000000"
34,74,Undirected,1992,person-person,2,,person<--->person,"#000000"
81,98,Undirected,2144,person-person,1,,person<--->person,"#000000"
34,47,Undirected,1990,person-person,2,,person<--->person,"#000000"
82,87,Undirected,2145,person-person,1,,person<--->person,"#000000"
34,44,Undirected,1989,person-person,1,,person<--->person,"#000000"
33,356,Undirected,1988,person-person,1,,person<--->person,"#000000"
30,77,Undirected,1964,person-person,2,,person<--->person,"#000000"
27,350,Undirected,1963,person-person,1,,person<--->person,"#000000"
30,96,Undirected,1965,person-person,2,,person<--->person,"#000000"
80,95,Undirected,2109,person-person,4,,person<--->person,"#000000"
27,309,Undirected,1961,person-person,1,,person<--->person,"#000000"
27,176,Undirected,1960,person-person,1,,person<--->person,"#000000"
27,132,Undirected,1957,person-person,1,,person<--->person,"#000000"
27,142,Undirected,1958,person-person,1,,person<--->person,"#000000"
27,118,Undirected,1956,person-person,1,,person<--->person,"#000000"
74,81,Undirected,2040,person-person,1,,person<--->person,"#000000"
76,98,Undirected,2049,person-person,1,,person<--->person,"#000000"
74,178,Undirected,2044,person-person,1,,person<--->person,"#000000"
27,96,Undirected,1955,person-person,1,,person<--->person,"#000000"
27,77,Undirected,1954,person-person,1,,person<--->person,"#000000"
47,306,Undirected,2032,person-person,2,,person<--->person,"#000000"
25,300,Undirected,1951,person-person,1,,person<--->person,"#000000"
25,192,Undirected,1950,person-person,2,,person<--->person,"#000000"
